实体1,实体2,关系
基础概念,AutoML,主科目到一级科目
AutoML,AutoML问题构成?,知识点->提问
AutoML问题构成?,"- 特征选择
- 模型选择
- 算法选择
",提问->答案
AutoML,特征工程选择思路？,知识点->提问
特征工程选择思路？,"- 有监督的特征选择
    - 基于模型，lr的系数，树模型的importance等等
    - 基于选择，前项后项选择
- 无监督的特征选择
    - 基于统计信息的，熵、相关性、KL系数
    - 基于方差，因子分解，PCA主成分分享，方差系数
",提问->答案
AutoML,模型相关的选择思路?,知识点->提问
模型相关的选择思路?,"- 模型选择
    - 各自模型的优劣势，线性非线性，低阶特征/高阶特征交互，场景选择
- 参数选择
    - grid_search
    - random_search
    - ...
",提问->答案
AutoML,常见优化算法思路？,知识点->提问
常见优化算法思路？,"- SGD
- GD
- L-BFGS
- FTRL
",提问->答案
AutoML,AutoML参数选择所使用的方法？,知识点->提问
AutoML参数选择所使用的方法？,"- 暴力搜索
    - grid_search
    - random_search
- 拟合搜索
    - 贝叶斯优化
- 其他方法
    - Meta学习
    - 转移学习
",提问->答案
AutoML,讲讲贝叶斯优化如何在automl上应用？,知识点->提问
讲讲贝叶斯优化如何在automl上应用？,"- 目的：通过拟合参数和模型能力之间的关系：模型能力=f(超参数)，找到最合适的超参数
- 步骤：
    - 随机选取几个超参数进行f拟合，得到先验数据集合D
    - 根据先验数据D得到模型M
    - 根据模型M得到预测出一些较优超参数，并把该超参数对于的f结果加入原始数据集合D
    - 循环2-3两步直至达到条件
- 问题：
    - 稳定性：同一组超参数的预测结果在不同轮次不一致
    - f函数需要多次计算，资源耗费时间损失
    - 难以确定比较通用的拟合模型f
- 手记：
    - ![](https://tva1.sinaimg.cn/large/006tNbRwgy1g9n45r6f3nj30q40tkjz8.jpg)
",提问->答案
AutoML,以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,知识点->提问
以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,"- 随机生成若干超参点，更新gp模型
- 根据gp模型选取最优推荐值
- 推荐值附近随机生成点，根据cquisition function选取附近点极值点，acquisition function通常：
    - 基于GP-UCB的最大置信上界
        - 基于均值和方差的平衡结果
    - Thompson Sampling
    - EI(期望提升)
- 重复以上步骤
",提问->答案
基础概念,先验概率和后验概率,主科目到一级科目
先验概率和后验概率,写出全概率公式&贝叶斯公式,知识点->提问
写出全概率公式&贝叶斯公式,"全概率公式：设事件![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wed60nzaj305i01cmx2.jpg)构成一个完备事件组，即它们两两不相容，和为全集且![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wedhjqtej304w01cjra.jpg) ，则对任一事件A有：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8weetxaqxj30dk01e74b.jpg)
贝叶斯公式：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wefkh3r5j30l203iq3c.jpg)
",提问->答案
先验概率和后验概率,说说你怎么理解为什么有全概率公式&贝叶斯公式,知识点->提问
说说你怎么理解为什么有全概率公式&贝叶斯公式,"全概率公式为全概率就是表示达到某个目的，有多种方式，算到达目的的概率。**key：算概率**
贝叶斯公式为当给定条件发生变化后，会导致事件发生的可能性发生何种变化。**key：概率变化**
",提问->答案
先验概率和后验概率,什么是先验概率,知识点->提问
